,ID,name,category,main_category,currency,deadline,goal,launched,pledged,state,backers,country,usd pledged,usd_pledged_real,usd_goal_real,outcome,duration,launchyr,launchmo,avgpledge,category_combo,log_goal,norm_goal,duration2,duration3,norm_duration,predict,SSTO,SSR,blurb,launch,created,loghours,text,score1,score2,category2
0,100004195,STUDIO IN THE SKY - A Documentary Feature Film,Documentary,Film & Video,USD,2014-08-10,65000.0,2014-07-11,6240.57,canceled,43,US,6240.57,6240.57,65000.0,0,30,2014,7,145.12953488372102,Film & Video:Documentary,11.082142548877801,1.1164269954051798,6,-2.6339470316038196,-2.3452832010499103,0.16673110241366298,0.0430326574367543,0.0016574702210384099,"This film is dedicated to an artist killed on 9/11 in a Twin Towers art studio, whose aviation-themed artworks proved darkly prophetic.,",1405108548,1361425505,9.403781428281093,"STUDIO IN THE SKY - A Documentary Feature Film This film is dedicated to an artist killed on 9/11 in a Twin Towers art studio, whose aviation-themed artworks proved darkly prophetic.,",-0.028650943369580767,-0.04345144076403247,Documentary
1,100012079,Chris Eger Band - New Nashville Record!,Music,Music,USD,2014-08-13,12000.0,2014-07-14,13260.0,successful,92,US,13260.0,13260.0,12000.0,1,30,2014,7,144.130434782609,Music:Music,9.39266192877014,0.566641886752665,6,-2.6339470316038196,-2.5661527450680497,0.199697634389412,0.628146372116286,5.99928983733783e-05,"I'm looking to record the second Chris Eger Band album in Nashville, TN with country star (and my personal guitar hero) Eric Heatherly!,",1405370151,1404163498,5.814671844658653,"Chris Eger Band - New Nashville Record! I'm looking to record the second Chris Eger Band album in Nashville, TN with country star (and my personal guitar hero) Eric Heatherly!,",-0.01788171202739073,-0.019633915550307135,Music
2,1000476123,Mama's Meatballs,Food,Food,USD,2014-08-07,100.0,2014-07-08,0.0,failed,0,US,0.0,0.0,100.0,0,30,2014,7,0.0,Food:Food,4.60517018598809,-0.37706877282399,6,-2.6339470316038196,-3.19203214589332,0.16125487077889902,0.0430326574367543,0.00213335645938415,"The best Meatballs on the planet - nuff said!!!,",1404838346,1404824907,1.3172270821028629,"Mama's Meatballs The best Meatballs on the planet - nuff said!!!,",-0.013156958897101145,0.0019605506226333526,Food
3,1002125164,Cause Art Gallery,Art,Art,USD,2014-07-16,4000.0,2014-07-01,0.0,failed,0,US,0.0,0.0,4000.0,0,15,2014,7,0.0,Art:Art,8.29404964010203,0.47877611826893607,3,-17.6339470316038,-2.2565727455471403,0.14752272531983202,0.0430326574367543,0.00359045641424794,"New Art gallery representing artist that help the community and promoting their causes or issues.,",1404170826,1403414738,5.34722392605967,"Cause Art Gallery New Art gallery representing artist that help the community and promoting their causes or issues.,",-0.03132612898568988,-0.03931652206373671,Art
4,1002312219,Vagabond: The Search for My Homeless Father,Documentary,Film & Video,USD,2014-08-10,5000.0,2014-07-11,131.0,failed,6,US,131.0,131.0,5000.0,0,30,2014,7,21.8333333333333,Film & Video:Documentary,8.51719319141624,-0.329459485464276,6,-2.6339470316038196,-2.68060471244793,0.251356453210509,0.0430326574367543,0.00192837884348487,"A look into relationships between homeless parents and their children, with a sidebar of my journey to find my homeless dad.,",1405093353,1405033264,2.814892951041187,"Vagabond: The Search for My Homeless Father A look into relationships between homeless parents and their children, with a sidebar of my journey to find my homeless dad.,",-0.021835753872186496,-0.017359862610980315,Documentary
5,1002720451,Stage one & Stage two Music theatre,Music,Music,USD,2014-08-13,300000.0,2014-07-14,0.0,failed,0,US,0.0,0.0,300000.0,0,30,2014,7,0.0,Music:Music,12.6115377536383,2.33414059864303,6,-2.6339470316038196,-2.14534197800264,0.20074799874764898,0.0430326574367543,4.48249520102276e-05,"Hi, My name is Myke Miller. I am want to buy an abandon theatre in my hometown so that I can turn it into a music/ cinema and grill,",1405363626,1405212084,3.739928968789627,"Stage one & Stage two Music theatre Hi, My name is Myke Miller. I am want to buy an abandon theatre in my hometown so that I can turn it into a music/ cinema and grill,",-0.02066460014075738,-0.013121479077808272,Music
6,1003165056,Mason-ry Silicone Koozie,Product Design,Design,USD,2014-08-08,7500.0,2014-07-09,15720.0,successful,660,US,15720.0,15720.0,7500.0,1,30,2014,7,23.818181818181802,Design:Product Design,8.9226582995244,-0.221567025377379,6,-2.6339470316038196,-2.6275973606752796,0.266566848702264,0.628146372116286,0.00349561261614429,"The Mason-ry Silicone koozie is the first premium koozie designed to perfectly fit and accentuate a mason jar's fine curves.,",1404917296,1403192382,6.171998627688127,"Mason-ry Silicone Koozie The Mason-ry Silicone koozie is the first premium koozie designed to perfectly fit and accentuate a mason jar's fine curves.,",-0.02018509321685947,-0.017049188299214126,Product Design
7,1003458038,ONE WORLD - ONE YEAR,Documentary,Film & Video,USD,2014-08-14,68000.0,2014-07-15,507.0,failed,4,US,507.0,507.0,68000.0,0,30,2014,7,126.75,Film & Video:Documentary,11.127262984158198,1.1418618162499599,6,-2.6339470316038196,-2.33938450659454,0.165469978976564,0.0430326574367543,0.0017617464696161398,"What would happen if you leave everything behind and travel the world for an entire year? Let's find out! #oneworldoneyear,",1405400877,1405392863,0.8002561667518884,"ONE WORLD - ONE YEAR What would happen if you leave everything behind and travel the world for an entire year? Let's find out! #oneworldoneyear,",-0.018359239864930692,-0.01589418833776438,Documentary
8,1005636833,The Nostalgic Restoration of Your Youth,Art,Art,USD,2014-08-10,10000.0,2014-07-11,0.0,failed,0,US,0.0,0.0,10000.0,0,30,2014,7,0.0,Art:Art,9.21034037197618,0.8631606814278578,6,-2.6339470316038196,-2.5899880460679503,0.128413813481309,0.0430326574367543,0.00624563487047093,"Im trying to professionally restore my grandfather's 69 VW Bus. Let's all chill out and cruise, man,",1405106451,1404829817,4.341761487400231,"The Nostalgic Restoration of Your Youth Im trying to professionally restore my grandfather's 69 VW Bus. Let's all chill out and cruise, man,",-0.014892414650988986,-0.0100973027182101,Art
9,100608193,Tactile Turn Mover & Shaker Pens - New Materials,Product Design,Design,USD,2014-08-22,30000.0,2014-07-22,81981.0,successful,829,US,81981.0,81981.0,30000.0,1,31,2014,7,98.891435464415,Design:Product Design,10.308952660644302,0.660424971041199,7,-1.63394703160382,-2.33820597977965,0.21235654375556898,0.628146372116286,2.4141510323632397e-05,"The originals did so well that people asked for new materials! The same great click pens, just refined! Free international shipping!,",1406044821,1404141578,6.270380706798146,"Tactile Turn Mover & Shaker Pens - New Materials The originals did so well that people asked for new materials! The same great click pens, just refined! Free international shipping!,",-0.022626568669738955,-0.018583149838077954,Product Design
